name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;556;0;817;3159;1607;3159;1512;0
header;277;177;277;210;1909;210;1909;177
A;1078;236;1078;266;1103;266;1103;236
A;1323;300;1323;316;1333;316;1333;300
B;1241;568;1241;588;1255;588;1255;568
B;1086;874;1086;903;1109;903;1109;874
B;845;1023;845;1050;870;1050;870;1023
A;1120;1345;1120;1345;1121;1345;1121;1345
A;835;1457;835;1459;836;1459;836;1457
C;1094;1586;1094;1614;1115;1614;1115;1586
B;1067;2044;1067;2070;1085;2070;1085;2044
D;1106;2262;1106;2290;1128;2290;1128;2262
A;1405;2653;1405;2657;1410;2657;1410;2653
D;1005;2751;1005;2769;1020;2769;1020;2751
